Date,Name,Already Added?,Location,Country,Country Name,Month,Scraped?,athletic_links ,Notes
23 Mar 2025,TotalEnergies Medio Maratón de Málaga,,Málaga,ESP,Spain,3,,N/A,
23 Mar 2025,Wuxi Marathon,,Wuxi,CHN,China,3,,N/A,
23 Mar 2025,Zhengkai Marathon,,Zhengzhou,CHN,China,3,,N/A,
29 Mar 2025,32 Azkoitia-Azpeitia Diego Garcia Memorial,,Azpeitia,ESP,Spain,3,,N/A,
30 Mar 2025,19th Warsaw Half Marathon,,Warszawa,POL,Poland,3,,N/A,
30 Mar 2025,Bozhou marathon,,Bozhou,CHN,China,3,,N/A,
30 Mar 2025,Shijiazhuang Marathon,,Shijiazhuang,CHN,China,3,,N/A,
30 Mar 2025,Yancheng Marathon,,Yancheng,CHN,China,3,,N/A,
30 Mar 2025,Yangzhou Jianzhen Half Marathon,,Yangzhou,CHN,China,3,,N/A,
05 Apr 2025,Drammen 10K,,"Marienlyst Stadion, Drammen",NOR,Norway,4,,https://www.athlinks.com/event/122332,"Same event but Athlinks doesn't seem to have 10k results, only HM and 5k"
05 Apr 2025,Generali Prague Half Marathon,,Praha,CZE,Czech Republic,4,,https://www.athlinks.com/event/34694,
06 Apr 2025,38th Comtrade Belgrade marathon,,Beograd,SRB,Serbia,4,,https://www.athlinks.com/event/95565,
06 Apr 2025,ČSOB Bratislava Marathon,,Bratislava,SVK,Slovakia,4,,https://www.athlinks.com/event/36089,
06 Apr 2025,Generali Berliner Halbmarathon,,Berlin,GER,Germany,4,,https://www.athlinks.com/event/187582,
06 Apr 2025,Gunsan Saemangeum Marathon,,Gunsan,KOR,South Korea,4,,N/A,
06 Apr 2025,Hannover Marathon,,"Friedrichswall, Hannover",GER,Germany,4,,??,
06 Apr 2025,Milano Marathon,,Milano,ITA,Italy,4,,https://www.athlinks.com/event/35354,
06 Apr 2025,Movistar Madrid Medio Maratón,,Madrid,ESP,Spain,4,,https://www.athlinks.com/event/34491,
06 Apr 2025,Pyongynag International Marathon,,Pyongyang,PRK,North Korea,4,,N/A,A marathon in N Korea! I bet Kim wins this one every year! Reminds me of the scene from the movie 'Dictator'. :D
06 Apr 2025,Vienna City Marathon,,Wien,AUT,Austria,4,,https://www.athlinks.com/event/95020,
13 Apr 2025,Enschede Marathon,,Enschede,NED,Netherlands,4,,https://www.athlinks.com/event/34993,
13 Apr 2025,Hangzhou Qiantang Women's Half Marathon,,Hangzhou,CHN,China,4,,N/A,
13 Apr 2025,Huai'an Marathon,,Huai'an,CHN,China,4,,N/A,
13 Apr 2025,Nanjing Xianlin Half Marathon,,Nanjing,CHN,China,4,,N/A,
13 Apr 2025,NN Marathon Rotterdam,,Rotterdam,NED,Netherlands,4,,https://www.athlinks.com/event/34492,
13 Apr 2025,Schneider Electric Marathon de Paris,,Paris,FRA,France,4,,https://www.athlinks.com/event/34444,
13 Apr 2025,Yangling Marathon,,Yangling,CHN,China,4,,N/A,
19 Apr 2025,Abuja City Half Marathon,,Abuja,NGR,Nigeria,4,,N/A,
19 Apr 2025,B.A.A. Invitational Mile,,"Boston, MA",USA,United States,4,,N/A,Sounds like a mile distance race 
19 Apr 2025,Boston 5K,,"Boston, MA",USA,United States,4,,https://www.athlinks.com/event/34953,
20 Apr 2025,Beijing Half Marathon,,Beijing,CHN,China,4,,N/A,
20 Apr 2025,Haier Qingdao Marathon,,Qingdao,CHN,China,4,,N/A,
20 Apr 2025,Shanghai Half Marathon,,Shanghai,CHN,China,4,,N/A,
21 Apr 2025,Boston Marathon,Y,"Boston, MA",USA,United States,4,Y,https://www.athlinks.com/event/20238/results/Event/1079707/Results,
27 Apr 2025,Gifu Half Marathon,,Gifu,JPN,Japan,4,,N/A,
27 Apr 2025,Istanbul Half Marathon,,Istanbul,TUR,Turkey,4,,https://www.athlinks.com/event/34771,
27 Apr 2025,Marathon International de Rabat,,Rabat,MAR,Morocco,4,,N/A,
27 Apr 2025,Tata Consultancy Services World 10K Bengaluru,,Bengaluru,IND,India,4,,https://www.athlinks.com/event/34774,
27 Apr 2025,TCS London Marathon,Not Sure,London,GBR,United Kingdom,4,Y,https://www.athlinks.com/event/6633/results/Event/1081786/Results,
27 Apr 2025,Zurich Rock 'n' Roll Running Series Madrid,,Madrid,ESP,Spain,4,,https://www.athlinks.com/event/126820,
27 Apr 2025,Zurich Rock 'n' Roll Running Series Madrid Maraton,,Madrid,ESP,Spain,4,,Repeat of above?,
04 May 2025,Durban International Marathon,,Durban,RSA,South Africa,5,,??,Durban City Marathon is ID 229519 but idff event
04 May 2025,Maraton de Cali,,Cali,COL,Colombia,5,,N/A,
04 May 2025,OMT Beirut Marathon,,Beirut,LBN,Lebanon,5,,N/A,
04 May 2025,Phukethon,,Phuket,THA,Thailand,5,,N/A,
04 May 2025,RunCzech Prague Marathon,,Praha,CZE,Czech Republic,5,,https://www.athlinks.com/event/35394,
11 May 2025,Copenhagen Marathon,,Copenhagen,DEN,Denmark,5,,https://www.athlinks.com/event/34641,
11 May 2025,Generali Genève Marathon,,Genève,SUI,Switzerland,5,,https://www.athlinks.com/event/34908,
11 May 2025,OMV Petrom Bucharest Half Marathon,,Bucureşti,ROU,Romania,5,,N/A,
11 May 2025,The 35th Dalian Marathon,,Dalian,CHN,China,5,,N/A,
17 May 2025,Mattoni Half Marathon Karlovy Vary,,Karlovy Vary,CZE,Czech Republic,5,,N/A,
17 May 2025,Rimi Riga Marathon DPD Mile,,Riga,LAT,Latvia,5,,https://www.athlinks.com/event/364171,
